clues,clues_nombre,jurisdiccion,caravana_region,municipio,localidad,tipologia,empresa_clave,tipo_clues,empresa_nombre,director_unidad,administrador,encargado_almacen,coordinador_comision_abasto,lugar_entrega,lista_base_id,created_at,updated_at
CSSSA007004,USIPA,6,NULL,TILA,USIPA,"RURAL DE 01 NÚCLEO BÁSICO
",disur,1,"DISTRIBUIDORA DISUR, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007021,ZAQUITEL OJO DE AGUA,6,NULL,TILA,ZAQUITEL OJO DE AGUA,"CASA DE SALUD
",disur,1,"DISTRIBUIDORA DISUR, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007033,NUEVO LIMAR,6,NULL,TILA,NUEVO LIMAR,"RURAL DE 01 NÚCLEO BÁSICO
",disur,1,"DISTRIBUIDORA DISUR, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007050,JOLJA TIONTIEPA,6,NULL,TILA,JOLJA TIONTIEPA,"RURAL DE 01 NÚCLEO BÁSICO
",disur,1,"DISTRIBUIDORA DISUR, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007062,WILLIS 2A SECCIÓN,6,NULL,TILA,WILIS 2DA. SECCIÓN,"RURAL DE 01 NÚCLEO BÁSICO
",disur,1,"DISTRIBUIDORA DISUR, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007086,TONALÁ,8,NULL,TONALÁ,TONALÁ,"URBANO DE 07 NÚCLEOS BÁSICOS
",disur,1,"DISTRIBUIDORA DISUR, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007091,PUERTO ARISTA,8,NULL,TONALÁ,PUERTO ARISTA,"RURAL DE 02 NÚCLEOS BÁSICOS
",disur,1,"DISTRIBUIDORA DISUR, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007103,BELISARIO DOMÍNGUEZ,8,NULL,TONALÁ,DOCTOR BELISARIO DOMÍNGUEZ (LA BARRA),"CASA DE SALUD
",disur,1,"DISTRIBUIDORA DISUR, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007115,CABEZA DE TORO,8,NULL,TONALÁ,CABEZA DE TORO,"RURAL DE 02 NÚCLEOS BÁSICOS
",disur,1,"DISTRIBUIDORA DISUR, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007120,LA ESPERANZA,8,NULL,TONALÁ,LA ESPERANZA,"CASA DE SALUD
",disur,1,"DISTRIBUIDORA DISUR, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007132,HUACHIPILÍN CALENTURA,8,NULL,TONALÁ,HUACHIPILÍN CALENTURA (LA RAMADITA),"CASA DE SALUD
",disur,1,"DISTRIBUIDORA DISUR, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007144,IGNACIO RAMÍREZ,8,NULL,TONALÁ,IGNACIO RAMÍREZ,"RURAL DE 01 NÚCLEO BÁSICO
",disur,1,"DISTRIBUIDORA DISUR, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007156,CENICEROS,8,NULL,PIJIJIAPAN,CENICEROS,"UNIDAD MÓVIL
",disur,1,"DISTRIBUIDORA DISUR, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007161,NOYOLA,8,NULL,TONALÁ,NOYOLA,"RURAL DE 01 NÚCLEO BÁSICO
",disur,1,"DISTRIBUIDORA DISUR, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007173,BAHÍA DE PAREDÓN,8,NULL,TONALÁ,PAREDÓN,"RURAL DE 02 NÚCLEOS BÁSICOS
",disur,1,"DISTRIBUIDORA DISUR, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007185,PUEBLO NUEVO,8,NULL,TONALÁ,PUEBLO NUEVO (SAN CAYETANO),"RURAL DE 01 NÚCLEO BÁSICO
",disur,1,"DISTRIBUIDORA DISUR, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007202,EL TERRERO,8,NULL,TONALÁ,EL TERRERO,"CASA DE SALUD
",disur,1,"DISTRIBUIDORA DISUR, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007214,20 DE NOVIEMBRE,8,NULL,TONALÁ,VEINTE DE NOVIEMBRE,"CASA DE SALUD
",disur,1,"DISTRIBUIDORA DISUR, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007226,EJIDO MORELOS (ESTACIÓN MOJARRAS),8,NULL,TONALÁ,MORELOS (MOJARRAS),"RURAL DE 01 NÚCLEO BÁSICO
",disur,1,"DISTRIBUIDORA DISUR, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007231,SAN LUQUEÑO (LA COSTA),8,NULL,TONALÁ,SAN LUQUEÑO,"CASA DE SALUD
",disur,1,"DISTRIBUIDORA DISUR, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007243,UNIÓN Y PROGRESO,8,NULL,TONALÁ,UNIÓN Y PROGRESO,"CASA DE SALUD
",disur,1,"DISTRIBUIDORA DISUR, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007255,NATALIO VAZQUEZ PALLARES,8,NULL,TONALÁ,NATALIO VÁZQUEZ P.,"CASA DE SALUD
",disur,1,"DISTRIBUIDORA DISUR, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007260,TOTOLAPA,1,NULL,TOTOLAPA,TOTOLAPA,"RURAL DE 01 NÚCLEO BÁSICO
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007284,LA TRINITARIA,3,NULL,LA TRINITARIA,LA TRINITARIA,"CENTROS DE SALUD CON SERVICIOS AMPLIADOS
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007296,ÁLVARO OBREGÓN,3,NULL,LA TRINITARIA,ÁLVARO OBREGÓN,"RURAL DE 01 NÚCLEO BÁSICO
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007301,EL CARMEN XHÁN,3,NULL,LA TRINITARIA,CARMEN XHÁN,"CASA DE SALUD
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007313,CRISTÓBAL COLÓN,3,NULL,LA TRINITARIA,CRISTÓBAL COLÓN (LAGOS DE COLÓN),"RURAL DE 01 NÚCLEO BÁSICO
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007325,HIDALGO,3,NULL,LA TRINITARIA,MIGUEL HIDALGO,"RURAL DE 01 NÚCLEO BÁSICO
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007330,JUNCANÁ,3,NULL,LA TRINITARIA,JUNCANÁ,"CASA DE SALUD
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007342,EL PROGRESO,3,NULL,LA TRINITARIA,EL PROGRESO,"CASA DE SALUD
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007354,ROSARIO TIERRA BLANCA,3,NULL,LA TRINITARIA,EL ROSARIO TIERRA BLANCA,"CASA DE SALUD
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007366,SAN JUAN DEL VALLE,3,NULL,LA TRINITARIA,SAN JUAN DEL VALLE,"CASA DE SALUD
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007371,TZISCAO,3,NULL,LA TRINITARIA,TZISCAO,"RURAL DE 01 NÚCLEO BÁSICO
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007383,LA ANTELA,3,NULL,LA TRINITARIA,ANTELÁ,"CASA DE SALUD
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007395,NUEVA VENECIA,3,NULL,LA TRINITARIA,NUEVA VENECIA,"UNIDAD MÓVIL
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007400,LOMA BONITA,3,NULL,LA TRINITARIA,LOMA BONITA,"UNIDAD MÓVIL
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007412,LA GLORIA,3,NULL,LA TRINITARIA,LA GLORIA,"RURAL DE 01 NÚCLEO BÁSICO
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007424,FLOR DE MAYO,3,NULL,LA TRINITARIA,FLOR DE MAYO,"RURAL DE 01 NÚCLEO BÁSICO
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007436,NVO. VILLAFLORES,3,NULL,LA TRINITARIA,NUEVO VILLAFLORES,"CASA DE SALUD
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007453,NUEVA LIBERTAD (EL COLORADO),3,NULL,LA TRINITARIA,NUEVA LIBERTAD (EL COLORADO),"RURAL DE 01 NÚCLEO BÁSICO
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007465,CIENEGUITAS,3,NULL,LA TRINITARIA,SAN FRANCISCO DE ASÍS,"CASA DE SALUD
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007470,NUEVO LLANO GRANDE,3,NULL,LA TRINITARIA,NUEVO LLANO GRANDE,"RURAL DE 01 NÚCLEO BÁSICO
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007494,TUMBALÁ,6,NULL,TUMBALÁ,TUMBALÁ,"RURAL DE 01 NÚCLEO BÁSICO
",disur,1,"DISTRIBUIDORA DISUR, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007506,IGNACIO ALLENDE,6,NULL,TUMBALÁ,IGNACIO ALLENDE,"RURAL DE 01 NÚCLEO BÁSICO
",disur,1,"DISTRIBUIDORA DISUR, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007511,CACAHUATAL,6,NULL,TUMBALÁ,CACAHUATAL,"RURAL DE 02 NÚCLEOS BÁSICOS
",disur,1,"DISTRIBUIDORA DISUR, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007523,EMILIANO ZAPATA,6,NULL,TUMBALÁ,EMILIANO ZAPATA,"RURAL DE 01 NÚCLEO BÁSICO
",disur,1,"DISTRIBUIDORA DISUR, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007535,BENITO JUÁREZ,6,NULL,TUMBALÁ,BENITO JUÁREZ,"RURAL DE 01 NÚCLEO BÁSICO
",disur,1,"DISTRIBUIDORA DISUR, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007552,UMMA I POTINASPAK,1,NULL,TUXTLA GUTIÉRREZ,TUXTLA GUTIÉRREZ,"UNIDAD MÓVIL
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007564,LAS CASITAS,1,NULL,TUXTLA GUTIÉRREZ,TUXTLA GUTIÉRREZ,"UNIDAD MÓVIL
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007576,TUXTLA (COL. SANTA CRUZ),1,NULL,TUXTLA GUTIÉRREZ,TUXTLA GUTIÉRREZ,"URBANO DE 02 NÚCLEOS BÁSICOS
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007581,BIENESTAR SOCIAL,1,NULL,TUXTLA GUTIÉRREZ,TUXTLA GUTIÉRREZ,"URBANO DE 03 NÚCLEOS BÁSICOS
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007593,PLAN DE AYALA,1,NULL,TUXTLA GUTIÉRREZ,TUXTLA GUTIÉRREZ,"URBANO DE 03 NÚCLEOS BÁSICOS
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007605,ALBANIA (EL VALLE),1,NULL,TUXTLA GUTIÉRREZ,TUXTLA GUTIÉRREZ,"URBANO DE 03 NÚCLEOS BÁSICOS
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007610,PATRIA NUEVA,1,NULL,TUXTLA GUTIÉRREZ,TUXTLA GUTIÉRREZ,"URBANO DE 04 NÚCLEOS BÁSICOS
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007622,TERAN,1,NULL,TUXTLA GUTIÉRREZ,TUXTLA GUTIÉRREZ,"URBANO DE 05 NÚCLEOS BÁSICOS
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007634,TUXTLA GUTIÉRREZ,1,NULL,TUXTLA GUTIÉRREZ,TUXTLA GUTIÉRREZ,"URBANO DE 12 NÚCLEOS BÁSICOS Y MÁS
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007646,COPOYA,1,NULL,TUXTLA GUTIÉRREZ,COPOYA,"RURAL DE 01 NÚCLEO BÁSICO
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007651,EL JOBO,1,NULL,TUXTLA GUTIÉRREZ,EL JOBO,"RURAL DE 01 NÚCLEO BÁSICO
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007663,TUXTLA CHICO,7,NULL,TUXTLA CHICO,TUXTLA CHICO,"RURAL DE 02 NÚCLEOS BÁSICOS
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007675,2A. SECCIÓN IZAPA,7,NULL,TUXTLA CHICO,2DA. SECCIÓN DE IZAPA,"CASA DE SALUD
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007680,C.S. PRIMERA SECCIÓN DE MEDIO MONTE,7,NULL,TUXTLA CHICO,1RA. SECCIÓN DE MEDIO MONTE,"RURAL DE 01 NÚCLEO BÁSICO
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007692,2A. SECCIÓN MEDIO MONTE,7,NULL,TUXTLA CHICO,2DA. SECCIÓN DE MEDIO MONTE,"CASA DE SALUD
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007704,TALISMÁN,7,NULL,TUXTLA CHICO,TALISMÁN,"CASA DE SALUD
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007716,SECCIÓN LA TOMA,7,NULL,TUXTLA CHICO,SECCIÓN LA TOMA,"CASA DE SALUD
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007721,CANTÓN EL SACRIFICIO,7,NULL,TUXTLA CHICO,EL SACRIFICIO,"CASA DE SALUD
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007733,CHIPILÍN,7,NULL,TUZANTÁN,EL CHIPILÍN,"CASA DE SALUD
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007745,C.S. ISLAMAPA,7,NULL,TUZANTÁN,ISLAMAPA,"RURAL DE 01 NÚCLEO BÁSICO
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007750,SEGUNDO CANTÓN,7,NULL,TUZANTÁN,SEGUNDO CANTÓN,"CASA DE SALUD
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007762,29 DE DICIEMBRE,7,NULL,TUZANTÁN,VEINTINUEVE DE DICIEMBRE,"CASA DE SALUD
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007786,FELIPE ÁNGELES,3,NULL,TZIMOL,FELIPE ÁNGELES,"RURAL DE 01 NÚCLEO BÁSICO
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007791,OCHUSJOB,3,NULL,TZIMOL,OCHUSJOB,"RURAL DE 01 NÚCLEO BÁSICO
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007815,NUEVA LIBERTAD,3,NULL,TZIMOL,NUEVA LIBERTAD,"CASA DE SALUD
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007820,UNIÓN JUÁREZ,7,NULL,UNIÓN JUÁREZ,UNIÓN JUÁREZ,"RURAL DE 01 NÚCLEO BÁSICO
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007832,TRINIDAD,7,NULL,UNIÓN JUÁREZ,TRINIDAD,"CASA DE SALUD
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007844,VENUSTIANO CARRANZA,1,NULL,VENUSTIANO CARRANZA,VENUSTIANO CARRANZA,"RURAL DE 03 NÚCLEOS BÁSICOS Y MÁS
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007861,GUADALUPE VICTORIA,1,NULL,VENUSTIANO CARRANZA,GUADALUPE VICTORIA,"RURAL DE 01 NÚCLEO BÁSICO
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007885,MARIANO MATAMOROS,1,NULL,VENUSTIANO CARRANZA,MARIANO MATAMOROS,"CASA DE SALUD
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007890,SAN FRANCISCO PUJILTIC,1,NULL,VENUSTIANO CARRANZA,SAN FRANCISCO PUJILTIC,"RURAL DE 01 NÚCLEO BÁSICO
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007902,LAJA TENDIDA,1,NULL,VENUSTIANO CARRANZA,PRESIDENTE ECHEVERRÍA (LAJA TENDIDA),"RURAL DE 01 NÚCLEO BÁSICO
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007914,PARAÍSO DEL GRIJALVA,1,NULL,VENUSTIANO CARRANZA,PARAÍSO DEL GRIJALVA,"RURAL DE 01 NÚCLEO BÁSICO
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007926,SAN ANTONIO LA SIDRA (31 DE DICIEMBRE),1,NULL,VENUSTIANO CARRANZA,TREINTA Y UNO DE DICIEMBRE,"CASA DE SALUD
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007931,VILLACORZO,4,NULL,VILLA CORZO,VILLA CORZO,"RURAL DE 03 NÚCLEOS BÁSICOS Y MÁS
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007943,SN. PEDRO BUENAVISTA,4,NULL,VILLA CORZO,SAN PEDRO BUENAVISTA,"RURAL DE 02 NÚCLEOS BÁSICOS
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007955,LA LIBERTAD,4,NULL,VILLA CORZO,LA LIBERTAD,"CASA DE SALUD
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007960,EL PARRAL,4,NULL,VILLA CORZO,EL PARRAL,"RURAL DE 02 NÚCLEOS BÁSICOS
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007972,SAN JULIÁN,4,NULL,VILLA CORZO,SAN JULIÁN,"CASA DE SALUD
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007984,LOMA BONITA,4,NULL,VILLA CORZO,LOMA BONITA,"CASA DE SALUD
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA007996,OCOTAL LAS MARAVILLAS,4,NULL,VILLA CORZO,OCOTAL MARAVILLAS,"CASA DE SALUD
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA008001,LOS AMATES,4,NULL,VILLA CORZO,LOS AMATES,"CASA DE SALUD
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
